id,name_en,name_ger,description,alternativenames_en,alternativenames_ger,typos_en,typos_ger,link,Cat_I,Cat_II,Cat_III
176,"prize crown",Preiskrone,NULL,"price urn, price crown, price crowns, price urns, prize crowns",,NULL,NULL,http://www.dbis.cs.uni-frankfurt.de/cnt/id/prize_crown_object,Ornaments,Crown,NULL
177,prora,Prora,Schiffsbug,prorae,Prore,NULL,NULL,https://www.wikidata.org/wiki/Q4814120,NauticalObject,Ship,ShipPart
178,prow,Prora,NULL,prows,,NULL,NULL,https://www.wikidata.org/wiki/Q4814120,NauticalObject,Ship,ShipPart
179,purse,Geldbörse,NULL,purses,,NULL,NULL,https://www.wikidata.org/wiki/Q131740,Tools,NULL,NULL
180,pyre,Scheiterhaufen,"aus OCRE",pyres,,NULL,NULL,https://www.wikidata.org/wiki/Q736132,Architecture,NULL,NULL
181,quadriga,Quadriga,"Streitwagen mit vier Pferden",quadrigae,Quadrigen,NULL,NULL,https://www.wikidata.org/wiki/Q155987,VehicelObjects,NULL,NULL
182,quiver,Köcher,NULL,quivers,,NULL,NULL,https://www.wikidata.org/wiki/Q222560,Arms,NULL,NULL
183,radiate,Strahlenkrone,"radiate crown","radiate crown, radiate crowns",,NULL,NULL,https://www.wikidata.org/wiki/Q17077242,Ornaments,Crown,NULL
184,rein,Zügel,NULL,reins,,NULL,NULL,https://www.wikidata.org/wiki/Q2196000,Tools,AnimalRestraints,Harness
185,rhyton,Rhyton,"hornförmiges Trinkgefäß"," rhyta",Rhyta,NULL,NULL,https://www.wikidata.org/wiki/Q828450,Vessel-Jar,NULL,NULL
186,ribbon,Band,NULL,ribbons,,NULL,NULL,https://www.wikidata.org/wiki/Q6918773,Ornaments,NULL,NULL
187,robe,Kleid,NULL,robes,,NULL,NULL,https://www.wikidata.org/wiki/Q345127,Clothing,NULL,NULL
188,rock,Felsen,NULL,rocks,,NULL,NULL,https://www.wikidata.org/wiki/Q8063,Stone,NULL,NULL
189,roll,Rolle,"aus OCRE",rolls,,NULL,NULL,https://www.wikidata.org/wiki/Q92311493,Tools,NULL,NULL
190,roof,Dach,NULL,roofs,,NULL,NULL,https://www.wikidata.org/wiki/Q83180,Architecture,ArchitecturalElements,NULL
191,rosette,Rosette,NULL,rosettes,,NULL,NULL,https://www.wikidata.org/wiki/Q1277215,Architecture,ArchitecturalElements,ArchitecturalOrnaments
